open,high,low,close,open_time,close_time,volume
0.00000261,0.00000264,0.00000261,0.00000263,1531210320000,1531210379999,1933101.00000000
0.00000263,0.00000264,0.00000263,0.00000263,1531210380000,1531210439999,1590997.00000000
0.00000264,0.00000266,0.00000264,0.00000266,1531210440000,1531210499999,3038363.00000000
0.00000266,0.00000266,0.00000265,0.00000266,1531210500000,1531210559999,296933.00000000
0.00000266,0.00000266,0.00000264,0.00000265,1531210560000,1531210619999,1323809.00000000
0.00000265,0.00000265,0.00000261,0.00000263,1531210620000,1531210679999,1853792.00000000
0.00000263,0.00000263,0.00000260,0.00000262,1531210680000,1531210739999,1401454.00000000
0.00000262,0.00000262,0.00000260,0.00000261,1531210740000,1531210799999,566655.00000000
0.00000262,0.00000262,0.00000260,0.00000261,1531210800000,1531210859999,1529003.00000000
0.00000261,0.00000261,0.00000260,0.00000260,1531210860000,1531210919999,912575.00000000
0.00000261,0.00000262,0.00000261,0.00000262,1531210920000,1531210979999,1352845.00000000
0.00000262,0.00000262,0.00000262,0.00000262,1531210980000,1531211039999,595423.00000000
0.00000262,0.00000262,0.00000261,0.00000261,1531211040000,1531211099999,96927.00000000
0.00000262,0.00000263,0.00000262,0.00000262,1531211100000,1531211159999,641600.00000000
0.00000263,0.00000263,0.00000261,0.00000262,1531211160000,1531211219999,2147472.00000000
0.00000262,0.00000262,0.00000262,0.00000262,1531211220000,1531211279999,102138.00000000
0.00000262,0.00000262,0.00000262,0.00000262,1531211280000,1531211339999,20004.00000000
0.00000263,0.00000263,0.00000263,0.00000263,1531211340000,1531211399999,608051.00000000
0.00000264,0.00000267,0.00000264,0.00000266,1531211400000,1531211459999,2615862.00000000
0.00000267,0.00000268,0.00000265,0.00000266,1531211460000,1531211519999,1823088.00000000
0.00000267,0.00000267,0.00000262,0.00000264,1531211520000,1531211579999,4850029.00000000
0.00000263,0.00000263,0.00000262,0.00000263,1531211580000,1531211639999,463879.00000000
0.00000262,0.00000263,0.00000261,0.00000262,1531211640000,1531211699999,574429.00000000
0.00000262,0.00000264,0.00000261,0.00000263,1531211700000,1531211759999,408900.00000000
0.00000263,0.00000263,0.00000263,0.00000263,1531211760000,1531211819999,168367.00000000
0.00000263,0.00000263,0.00000262,0.00000263,1531211820000,1531211879999,242205.00000000
0.00000263,0.00000263,0.00000262,0.00000262,1531211880000,1531211939999,89894.00000000
0.00000262,0.00000263,0.00000262,0.00000263,1531211940000,1531211999999,59266.00000000
0.00000262,0.00000263,0.00000262,0.00000262,1531212000000,1531212059999,730449.00000000
0.00000262,0.00000262,0.00000259,0.00000261,1531212060000,1531212119999,1182617.00000000
0.00000261,0.00000261,0.00000260,0.00000260,1531212120000,1531212179999,805627.00000000
0.00000260,0.00000261,0.00000260,0.00000261,1531212180000,1531212239999,205316.00000000
0.00000261,0.00000261,0.00000260,0.00000260,1531212240000,1531212299999,90466.00000000
0.00000261,0.00000263,0.00000260,0.00000261,1531212300000,1531212359999,1501310.00000000
0.00000261,0.00000261,0.00000260,0.00000260,1531212360000,1531212419999,372135.00000000
0.00000260,0.00000262,0.00000260,0.00000261,1531212420000,1531212479999,2179883.00000000
0.00000260,0.00000261,0.00000259,0.00000259,1531212480000,1531212539999,350130.00000000
0.00000259,0.00000260,0.00000259,0.00000259,1531212540000,1531212599999,139536.00000000
0.00000260,0.00000260,0.00000257,0.00000258,1531212600000,1531212659999,1675050.00000000
0.00000258,0.00000259,0.00000256,0.00000257,1531212660000,1531212719999,790570.00000000
0.00000258,0.00000259,0.00000257,0.00000258,1531212720000,1531212779999,754608.00000000
0.00000257,0.00000258,0.00000257,0.00000258,1531212780000,1531212839999,585782.00000000
0.00000259,0.00000259,0.00000258,0.00000259,1531212840000,1531212899999,572621.00000000
0.00000258,0.00000259,0.00000257,0.00000259,1531212900000,1531212959999,1296367.00000000
0.00000258,0.00000259,0.00000258,0.00000259,1531212960000,1531213019999,809854.00000000
0.00000258,0.00000259,0.00000258,0.00000259,1531213020000,1531213079999,623611.00000000
0.00000259,0.00000259,0.00000258,0.00000258,1531213080000,1531213139999,176945.00000000
0.00000258,0.00000259,0.00000257,0.00000259,1531213140000,1531213199999,430412.00000000
0.00000259,0.00000259,0.00000258,0.00000258,1531213200000,1531213259999,616131.00000000
0.00000258,0.00000259,0.00000257,0.00000258,1531213260000,1531213319999,289974.00000000
0.00000258,0.00000258,0.00000256,0.00000257,1531213320000,1531213379999,695418.00000000
0.00000257,0.00000258,0.00000256,0.00000258,1531213380000,1531213439999,1080921.00000000
0.00000257,0.00000258,0.00000256,0.00000258,1531213440000,1531213499999,135845.00000000
0.00000258,0.00000258,0.00000256,0.00000256,1531213500000,1531213559999,597285.00000000
0.00000256,0.00000257,0.00000256,0.00000257,1531213560000,1531213619999,223726.00000000
0.00000257,0.00000257,0.00000255,0.00000255,1531213620000,1531213679999,2129107.00000000
0.00000255,0.00000256,0.00000255,0.00000255,1531213680000,1531213739999,1206483.00000000
0.00000255,0.00000257,0.00000255,0.00000255,1531213740000,1531213799999,249535.00000000
0.00000255,0.00000255,0.00000253,0.00000254,1531213800000,1531213859999,1802717.00000000
0.00000254,0.00000255,0.00000253,0.00000255,1531213860000,1531213919999,437599.00000000
0.00000255,0.00000255,0.00000253,0.00000253,1531213920000,1531213979999,1550379.00000000
0.00000255,0.00000255,0.00000253,0.00000255,1531213980000,1531214039999,1330406.00000000
0.00000254,0.00000257,0.00000254,0.00000256,1531214040000,1531214099999,1963613.00000000
0.00000256,0.00000257,0.00000255,0.00000256,1531214100000,1531214159999,955286.00000000
0.00000255,0.00000256,0.00000254,0.00000255,1531214160000,1531214219999,183553.00000000
0.00000255,0.00000256,0.00000254,0.00000254,1531214220000,1531214279999,194325.00000000
0.00000256,0.00000257,0.00000254,0.00000255,1531214280000,1531214339999,2406761.00000000
0.00000255,0.00000257,0.00000255,0.00000257,1531214340000,1531214399999,717499.00000000
0.00000257,0.00000257,0.00000255,0.00000255,1531214400000,1531214459999,1089793.00000000
0.00000255,0.00000255,0.00000252,0.00000253,1531214460000,1531214519999,3066029.00000000
0.00000253,0.00000254,0.00000253,0.00000253,1531214520000,1531214579999,886088.00000000
0.00000254,0.00000254,0.00000253,0.00000253,1531214580000,1531214639999,234361.00000000
0.00000254,0.00000255,0.00000253,0.00000255,1531214640000,1531214699999,761889.00000000
0.00000255,0.00000256,0.00000255,0.00000256,1531214700000,1531214759999,491211.00000000
0.00000255,0.00000256,0.00000254,0.00000255,1531214760000,1531214819999,476698.00000000
0.00000254,0.00000256,0.00000254,0.00000254,1531214820000,1531214879999,361614.00000000
0.00000255,0.00000256,0.00000255,0.00000255,1531214880000,1531214939999,403661.00000000
0.00000255,0.00000259,0.00000255,0.00000259,1531214940000,1531214999999,3045763.00000000
0.00000259,0.00000259,0.00000255,0.00000257,1531215000000,1531215059999,1270486.00000000
0.00000258,0.00000259,0.00000256,0.00000257,1531215060000,1531215119999,1024956.00000000
0.00000257,0.00000258,0.00000257,0.00000258,1531215120000,1531215179999,181925.00000000
0.00000257,0.00000258,0.00000257,0.00000257,1531215180000,1531215239999,6133.00000000
0.00000258,0.00000262,0.00000257,0.00000261,1531215240000,1531215299999,3551540.00000000
0.00000261,0.00000263,0.00000260,0.00000263,1531215300000,1531215359999,2435317.00000000
0.00000263,0.00000263,0.00000261,0.00000261,1531215360000,1531215419999,1255663.00000000
0.00000261,0.00000262,0.00000261,0.00000262,1531215420000,1531215479999,709756.00000000
0.00000262,0.00000266,0.00000262,0.00000266,1531215480000,1531215539999,3243110.00000000
0.00000266,0.00000267,0.00000261,0.00000262,1531215540000,1531215599999,10869624.00000000
0.00000263,0.00000263,0.00000250,0.00000255,1531215600000,1531215659999,9105659.00000000
0.00000254,0.00000258,0.00000252,0.00000258,1531215660000,1531215719999,2788595.00000000
0.00000257,0.00000258,0.00000254,0.00000256,1531215720000,1531215779999,5625801.00000000
0.00000255,0.00000257,0.00000254,0.00000254,1531215780000,1531215839999,2712884.00000000
0.00000254,0.00000256,0.00000254,0.00000255,1531215840000,1531215899999,1551643.00000000
0.00000255,0.00000255,0.00000252,0.00000253,1531215900000,1531215959999,2631761.00000000
0.00000253,0.00000256,0.00000252,0.00000255,1531215960000,1531216019999,2576455.00000000
0.00000256,0.00000256,0.00000255,0.00000255,1531216020000,1531216079999,1152120.00000000
0.00000255,0.00000257,0.00000255,0.00000257,1531216080000,1531216139999,372473.00000000
0.00000256,0.00000257,0.00000255,0.00000257,1531216140000,1531216199999,1103629.00000000
0.00000257,0.00000259,0.00000257,0.00000258,1531216200000,1531216259999,811597.00000000
0.00000258,0.00000259,0.00000257,0.00000258,1531216260000,1531216319999,1035206.00000000
0.00000258,0.00000259,0.00000257,0.00000258,1531216320000,1531216379999,783395.00000000
0.00000258,0.00000259,0.00000258,0.00000258,1531216380000,1531216439999,673582.00000000
0.00000258,0.00000259,0.00000258,0.00000258,1531216440000,1531216499999,400660.00000000
0.00000259,0.00000259,0.00000257,0.00000258,1531216500000,1531216559999,201410.00000000
0.00000259,0.00000259,0.00000258,0.00000258,1531216560000,1531216619999,144452.00000000
0.00000258,0.00000260,0.00000258,0.00000259,1531216620000,1531216679999,819355.00000000
0.00000259,0.00000261,0.00000259,0.00000261,1531216680000,1531216739999,1032098.00000000
0.00000261,0.00000261,0.00000260,0.00000260,1531216740000,1531216799999,915356.00000000
0.00000260,0.00000262,0.00000260,0.00000260,1531216800000,1531216859999,2287832.00000000
0.00000260,0.00000264,0.00000260,0.00000264,1531216860000,1531216919999,7369663.00000000
0.00000264,0.00000265,0.00000261,0.00000264,1531216920000,1531216979999,3214720.00000000
0.00000265,0.00000267,0.00000263,0.00000263,1531216980000,1531217039999,3287370.00000000
0.00000263,0.00000264,0.00000263,0.00000263,1531217040000,1531217099999,597340.00000000
