open,high,low,close,open_time,close_time,volume
0.00014963,0.00014976,0.00014945,0.00014975,1531210320000,1531210379999,16163.00000000
0.00014960,0.00014975,0.00014960,0.00014975,1531210380000,1531210439999,682.00000000
0.00014964,0.00014973,0.00014961,0.00014961,1531210440000,1531210499999,2065.00000000
0.00014968,0.00014968,0.00014960,0.00014961,1531210500000,1531210559999,2228.00000000
0.00014961,0.00014962,0.00014933,0.00014933,1531210560000,1531210619999,1544.00000000
0.00014945,0.00014945,0.00014903,0.00014913,1531210620000,1531210679999,4459.00000000
0.00014920,0.00014963,0.00014920,0.00014962,1531210680000,1531210739999,888.00000000
0.00014964,0.00014964,0.00014961,0.00014964,1531210740000,1531210799999,1597.00000000
0.00014961,0.00014961,0.00014951,0.00014959,1531210800000,1531210859999,1825.00000000
0.00014951,0.00014959,0.00014951,0.00014959,1531210860000,1531210919999,433.00000000
0.00014952,0.00014952,0.00014951,0.00014951,1531210920000,1531210979999,224.00000000
0.00014952,0.00014971,0.00014952,0.00014953,1531210980000,1531211039999,1276.00000000
0.00014971,0.00014971,0.00014960,0.00014970,1531211040000,1531211099999,2253.00000000
0.00014961,0.00014970,0.00014952,0.00014970,1531211100000,1531211159999,1827.00000000
0.00014962,0.00014974,0.00014956,0.00014974,1531211160000,1531211219999,3772.00000000
0.00014975,0.00014975,0.00014964,0.00014974,1531211220000,1531211279999,1679.00000000
0.00014974,0.00014974,0.00014952,0.00014952,1531211280000,1531211339999,1957.00000000
0.00014963,0.00014973,0.00014954,0.00014954,1531211340000,1531211399999,950.00000000
0.00014973,0.00014973,0.00014952,0.00014952,1531211400000,1531211459999,1457.00000000
0.00014954,0.00014975,0.00014954,0.00014975,1531211460000,1531211519999,439.00000000
0.00014965,0.00014974,0.00014964,0.00014974,1531211520000,1531211579999,1090.00000000
0.00014964,0.00014974,0.00014964,0.00014974,1531211580000,1531211639999,2400.00000000
0.00014967,0.00014974,0.00014956,0.00014956,1531211640000,1531211699999,1127.00000000
0.00014964,0.00014974,0.00014958,0.00014974,1531211700000,1531211759999,1203.00000000
0.00014974,0.00014974,0.00014965,0.00014974,1531211760000,1531211819999,654.00000000
0.00014973,0.00014973,0.00014955,0.00014972,1531211820000,1531211879999,2931.00000000
0.00014965,0.00014972,0.00014955,0.00014972,1531211880000,1531211939999,2116.00000000
0.00014964,0.00014975,0.00014955,0.00014974,1531211940000,1531211999999,3421.00000000
0.00014974,0.00014978,0.00014955,0.00014955,1531212000000,1531212059999,4878.00000000
0.00014955,0.00015010,0.00014955,0.00014995,1531212060000,1531212119999,4580.00000000
0.00015001,0.00015009,0.00014995,0.00015006,1531212120000,1531212179999,2208.00000000
0.00015002,0.00015011,0.00015002,0.00015010,1531212180000,1531212239999,2007.00000000
0.00015008,0.00015010,0.00014918,0.00014939,1531212240000,1531212299999,20026.00000000
0.00014946,0.00014979,0.00014946,0.00014969,1531212300000,1531212359999,3567.00000000
0.00014969,0.00014980,0.00014969,0.00014980,1531212360000,1531212419999,765.00000000
0.00014975,0.00014994,0.00014975,0.00014994,1531212420000,1531212479999,997.00000000
0.00014982,0.00015011,0.00014974,0.00015011,1531212480000,1531212539999,6096.00000000
0.00015010,0.00015010,0.00014978,0.00014978,1531212540000,1531212599999,2111.00000000
0.00014988,0.00015009,0.00014978,0.00014986,1531212600000,1531212659999,1956.00000000
0.00014998,0.00014998,0.00014987,0.00014987,1531212660000,1531212719999,189.00000000
0.00014996,0.00015008,0.00014985,0.00015008,1531212720000,1531212779999,1404.00000000
0.00015008,0.00015017,0.00014991,0.00015017,1531212780000,1531212839999,9917.00000000
0.00014975,0.00014983,0.00014933,0.00014979,1531212840000,1531212899999,10255.00000000
0.00014961,0.00014981,0.00014957,0.00014967,1531212900000,1531212959999,431.00000000
0.00014980,0.00014980,0.00014980,0.00014980,1531212960000,1531213019999,178.00000000
0.00014980,0.00014981,0.00014975,0.00014981,1531213020000,1531213079999,1701.00000000
0.00014981,0.00014981,0.00014973,0.00014973,1531213080000,1531213139999,345.00000000
0.00014978,0.00014978,0.00014976,0.00014976,1531213140000,1531213199999,959.00000000
0.00014976,0.00014981,0.00014976,0.00014981,1531213200000,1531213259999,1183.00000000
0.00014983,0.00014987,0.00014983,0.00014986,1531213260000,1531213319999,1450.00000000
0.00014986,0.00014991,0.00014986,0.00014986,1531213320000,1531213379999,1508.00000000
0.00014986,0.00014995,0.00014983,0.00014983,1531213380000,1531213439999,2190.00000000
0.00014989,0.00014995,0.00014983,0.00014987,1531213440000,1531213499999,4394.00000000
0.00014988,0.00014996,0.00014983,0.00014992,1531213500000,1531213559999,670.00000000
0.00014993,0.00014994,0.00014992,0.00014993,1531213560000,1531213619999,1648.00000000
