open,high,low,close,open_time,close_time,volume
0.11029200,0.11040100,0.11029200,0.11039900,1531160280000,1531160339999,0.20200000
0.11029800,0.11040100,0.11029800,0.11040100,1531160340000,1531160399999,5.10200000
0.11039900,0.11040100,0.11029200,0.11040100,1531160400000,1531160459999,1.33700000
0.11039900,0.11040100,0.11039900,0.11040100,1531160460000,1531160519999,28.55900000
0.11040000,0.11040100,0.11040000,0.11040000,1531160520000,1531160579999,12.98300000
0.11040100,0.11040100,0.11030300,0.11039800,1531160580000,1531160639999,12.18700000
0.11032500,0.11040100,0.11032500,0.11039900,1531160640000,1531160699999,24.86600000
0.11040100,0.11057100,0.11040100,0.11057100,1531160700000,1531160759999,39.12400000
0.11057100,0.11058300,0.11041400,0.11041400,1531160760000,1531160819999,17.18200000
0.11041500,0.11041500,0.11037600,0.11037600,1531160820000,1531160879999,29.82400000
0.11040200,0.11054200,0.11040200,0.11054100,1531160880000,1531160939999,1.11300000
0.11046800,0.11052500,0.11046800,0.11052300,1531160940000,1531160999999,20.57400000
0.11051900,0.11051900,0.11040700,0.11051700,1531161000000,1531161059999,7.09000000
0.11040400,0.11051500,0.11040100,0.11044900,1531161060000,1531161119999,9.82900000
0.11044900,0.11052400,0.11040000,0.11040000,1531161120000,1531161179999,9.37500000
0.11045900,0.11045900,0.11034400,0.11039900,1531161180000,1531161239999,14.37300000
0.11037100,0.11039900,0.11037000,0.11039800,1531161240000,1531161299999,34.33300000
0.11038400,0.11039800,0.11037700,0.11039800,1531161300000,1531161359999,29.82300000
0.11039800,0.11040000,0.11038400,0.11039700,1531161360000,1531161419999,30.21000000
0.11039600,0.11046000,0.11038200,0.11046000,1531161420000,1531161479999,27.05800000
0.11043200,0.11046000,0.11036700,0.11038800,1531161480000,1531161539999,25.01200000
0.11046000,0.11046000,0.11038700,0.11042200,1531161540000,1531161599999,21.77400000
0.11042200,0.11047200,0.11042200,0.11047200,1531161600000,1531161659999,7.09600000
0.11052400,0.11060300,0.11047000,0.11047000,1531161660000,1531161719999,9.50500000
0.11047300,0.11064300,0.11047300,0.11047300,1531161720000,1531161779999,15.68200000
0.11051400,0.11051400,0.11047300,0.11047300,1531161780000,1531161839999,29.59700000
0.11056000,0.11056000,0.11047400,0.11047400,1531161840000,1531161899999,40.55000000
0.11055900,0.11055900,0.11047900,0.11047900,1531161900000,1531161959999,4.48700000
0.11048900,0.11056400,0.11048800,0.11056400,1531161960000,1531162019999,4.05100000
0.11050400,0.11061900,0.11050400,0.11061800,1531162020000,1531162079999,26.74300000
0.11061800,0.11061900,0.11056000,0.11056000,1531162080000,1531162139999,9.76100000
0.11061900,0.11061900,0.11053100,0.11053100,1531162140000,1531162199999,0.82500000
0.11056100,0.11061900,0.11056100,0.11061900,1531162200000,1531162259999,3.80000000
0.11061900,0.11070000,0.11057200,0.11058000,1531162260000,1531162319999,1.71600000
0.11061100,0.11080400,0.11058300,0.11080200,1531162320000,1531162379999,5.49900000
0.11080200,0.11080200,0.11080200,0.11080200,1531162380000,1531162439999,0.00000000
0.11060300,0.11064400,0.11059200,0.11064400,1531162440000,1531162499999,10.39800000
0.11069700,0.11079700,0.11061100,0.11061200,1531162500000,1531162559999,3.48600000
0.11068200,0.11068200,0.11059700,0.11059700,1531162560000,1531162619999,9.72200000
0.11059700,0.11077000,0.11059600,0.11077000,1531162620000,1531162679999,5.08100000
0.11065700,0.11069200,0.11061200,0.11069200,1531162680000,1531162739999,22.32600000
0.11070300,0.11070300,0.11070300,0.11070300,1531162740000,1531162799999,2.04000000
0.11077000,0.11077000,0.11070400,0.11070400,1531162800000,1531162859999,12.02300000
0.11070400,0.11074600,0.11044500,0.11074600,1531162860000,1531162919999,27.34400000
0.11057300,0.11057600,0.11041300,0.11056600,1531162920000,1531162979999,10.61900000
0.11041200,0.11054800,0.11041200,0.11054800,1531162980000,1531163039999,0.42700000
0.11054800,0.11054800,0.11054800,0.11054800,1531163040000,1531163099999,0.00000000
0.11059900,0.11059900,0.11054700,0.11054700,1531163100000,1531163159999,1.97900000
0.11054700,0.11062600,0.11042700,0.11062600,1531163160000,1531163219999,23.00100000
0.11042800,0.11063100,0.11042800,0.11063100,1531163220000,1531163279999,0.59300000
0.11063000,0.11073700,0.11054700,0.11073700,1531163280000,1531163339999,6.75500000
0.11053900,0.11073400,0.11053900,0.11058100,1531163340000,1531163399999,0.24100000
0.11072600,0.11076800,0.11059000,0.11076800,1531163400000,1531163459999,0.34600000
0.11076800,0.11076800,0.11076800,0.11076800,1531163460000,1531163519999,0.00000000
0.11061500,0.11075500,0.11061500,0.11061500,1531163520000,1531163579999,0.22000000
0.11074900,0.11083400,0.11068800,0.11083200,1531163580000,1531163639999,15.13800000
0.11064200,0.11083400,0.11064200,0.11074300,1531163640000,1531163699999,5.14400000
0.11070000,0.11083300,0.11065700,0.11066500,1531163700000,1531163759999,13.28500000
0.11066800,0.11066800,0.11066800,0.11066800,1531163760000,1531163819999,0.19000000
0.11073800,0.11073800,0.11066900,0.11073300,1531163820000,1531163879999,11.15500000
0.11069500,0.11071500,0.11066900,0.11066900,1531163880000,1531163939999,18.09100000
0.11071000,0.11075100,0.11066800,0.11075100,1531163940000,1531163999999,42.56600000
0.11066900,0.11075000,0.11066900,0.11066900,1531164000000,1531164059999,29.67700000
0.11071000,0.11083400,0.11067000,0.11083400,1531164060000,1531164119999,21.57800000
0.11067400,0.11075100,0.11067000,0.11067000,1531164120000,1531164179999,7.49300000
0.11067000,0.11067000,0.11067000,0.11067000,1531164180000,1531164239999,0.00000000
0.11083000,0.11083000,0.11069000,0.11075800,1531164240000,1531164299999,6.17000000
0.11082600,0.11089800,0.11075900,0.11089800,1531164300000,1531164359999,18.00100000
0.11088500,0.11089900,0.11087000,0.11087600,1531164360000,1531164419999,2.71700000
0.11090000,0.11090000,0.11090000,0.11090000,1531164420000,1531164479999,0.01300000
0.11076100,0.11089400,0.11063000,0.11089400,1531164480000,1531164539999,23.15700000
0.11082100,0.11089400,0.11082100,0.11089300,1531164540000,1531164599999,8.86700000
0.11089300,0.11089300,0.11089300,0.11089300,1531164600000,1531164659999,11.27100000
0.11089300,0.11089300,0.11077400,0.11089300,1531164660000,1531164719999,2.36400000
0.11083200,0.11089300,0.11064900,0.11087400,1531164720000,1531164779999,8.97100000
0.11087500,0.11087500,0.11087500,0.11087500,1531164780000,1531164839999,0.09600000
0.11073600,0.11089200,0.11071000,0.11089200,1531164840000,1531164899999,1.76800000
0.11089300,0.11089300,0.11073100,0.11073200,1531164900000,1531164959999,11.61500000
0.11074500,0.11087500,0.11074500,0.11075700,1531164960000,1531165019999,5.20900000
0.11087500,0.11087500,0.11079800,0.11079800,1531165020000,1531165079999,7.56600000
0.11074800,0.11074800,0.11074800,0.11074800,1531165080000,1531165139999,4.32600000
0.11078600,0.11078600,0.11064700,0.11075700,1531165140000,1531165199999,11.18700000
0.11070500,0.11075700,0.11066400,0.11075600,1531165200000,1531165259999,38.19500000
0.11070500,0.11075700,0.11070300,0.11075600,1531165260000,1531165319999,35.41200000
0.11075600,0.11081600,0.11075600,0.11081600,1531165320000,1531165379999,3.50500000
0.11081500,0.11085000,0.11081500,0.11085000,1531165380000,1531165439999,0.56800000
0.11080000,0.11083300,0.11080000,0.11081100,1531165440000,1531165499999,25.47900000
0.11083000,0.11083500,0.11083000,0.11083100,1531165500000,1531165559999,2.39200000
0.11083100,0.11083600,0.11083100,0.11083200,1531165560000,1531165619999,13.79100000
0.11083400,0.11083400,0.11083400,0.11083400,1531165620000,1531165679999,0.01800000
0.11084900,0.11084900,0.11083300,0.11083600,1531165680000,1531165739999,0.15000000
0.11083400,0.11087500,0.11083300,0.11087500,1531165740000,1531165799999,17.32100000
0.11083400,0.11085500,0.11083400,0.11083500,1531165800000,1531165859999,15.31800000
0.11084200,0.11084200,0.11083400,0.11083500,1531165860000,1531165919999,2.72300000
0.11083500,0.11083500,0.11083500,0.11083500,1531165920000,1531165979999,0.14500000
0.11083500,0.11083500,0.11083500,0.11083500,1531165980000,1531166039999,0.00000000
0.11083500,0.11083500,0.11083500,0.11083500,1531166040000,1531166099999,0.00000000
0.11083400,0.11103100,0.11083400,0.11103100,1531166100000,1531166159999,1.56800000
0.11102500,0.11102500,0.11084200,0.11084200,1531166160000,1531166219999,11.72900000
0.11093600,0.11093600,0.11084700,0.11084800,1531166220000,1531166279999,11.40600000
0.11085200,0.11102200,0.11083400,0.11102200,1531166280000,1531166339999,12.84100000
0.11083600,0.11091500,0.11083400,0.11083400,1531166340000,1531166399999,43.36300000
0.11083500,0.11083600,0.11081100,0.11081100,1531166400000,1531166459999,14.56900000
0.11082200,0.11083600,0.11081100,0.11083600,1531166460000,1531166519999,32.99700000
0.11081100,0.11083500,0.11081100,0.11083500,1531166520000,1531166579999,34.08000000
0.11083400,0.11083500,0.11083100,0.11083400,1531166580000,1531166639999,26.44800000
0.11083300,0.11083400,0.11082900,0.11082900,1531166640000,1531166699999,24.34600000
0.11083100,0.11083600,0.11082900,0.11083500,1531166700000,1531166759999,16.95400000
0.11083500,0.11083600,0.11081000,0.11083500,1531166760000,1531166819999,36.49200000
0.11083500,0.11083600,0.11081100,0.11083500,1531166820000,1531166879999,8.52600000
0.11083500,0.11083500,0.11081000,0.11083500,1531166880000,1531166939999,5.33600000
0.11083400,0.11084000,0.11081100,0.11081300,1531166940000,1531166999999,11.25600000
0.11081100,0.11089700,0.11081000,0.11081000,1531167000000,1531167059999,21.81800000
0.11081100,0.11086600,0.11081000,0.11081000,1531167060000,1531167119999,26.84200000
0.11081000,0.11086200,0.11068500,0.11086200,1531167120000,1531167179999,7.15300000
0.11086100,0.11086100,0.11086100,0.11086100,1531167180000,1531167239999,0.04900000
0.11070600,0.11085100,0.11070600,0.11085100,1531167240000,1531167299999,0.06100000
0.11083600,0.11093000,0.11083600,0.11090000,1531167300000,1531167359999,24.09000000
0.11090000,0.11093900,0.11090000,0.11090200,1531167360000,1531167419999,29.05400000
0.11090000,0.11093800,0.11090000,0.11090000,1531167420000,1531167479999,18.02600000
0.11090400,0.11096400,0.11090100,0.11090300,1531167480000,1531167539999,27.66700000
0.11090100,0.11096000,0.11090000,0.11090100,1531167540000,1531167599999,35.20000000
0.11090000,0.11090000,0.11090000,0.11090000,1531167600000,1531167659999,0.81700000
0.11090000,0.11090100,0.11090000,0.11090000,1531167660000,1531167719999,2.06900000
0.11090000,0.11090000,0.11090000,0.11090000,1531167720000,1531167779999,0.28300000
0.11090100,0.11090100,0.11090000,0.11090000,1531167780000,1531167839999,0.79900000
0.11090100,0.11090100,0.11090100,0.11090100,1531167840000,1531167899999,4.35000000
0.11090100,0.11096300,0.11090000,0.11090100,1531167900000,1531167959999,37.68000000
0.11095900,0.11100500,0.11090100,0.11090100,1531167960000,1531168019999,13.36500000
0.11090000,0.11090000,0.11090000,0.11090000,1531168020000,1531168079999,0.59000000
0.11090000,0.11090000,0.11090000,0.11090000,1531168080000,1531168139999,0.90900000
0.11090000,0.11090000,0.11090000,0.11090000,1531168140000,1531168199999,19.17600000
0.11090000,0.11090000,0.11090000,0.11090000,1531168200000,1531168259999,0.48200000
0.11090000,0.11090000,0.11090000,0.11090000,1531168260000,1531168319999,7.58800000
0.11090000,0.11090100,0.11090000,0.11090100,1531168320000,1531168379999,0.65300000
0.11090000,0.11090100,0.11090000,0.11090000,1531168380000,1531168439999,2.02500000
0.11090000,0.11090000,0.11090000,0.11090000,1531168440000,1531168499999,0.11600000
0.11090000,0.11090000,0.11090000,0.11090000,1531168500000,1531168559999,0.00000000
0.11090000,0.11090000,0.11090000,0.11090000,1531168560000,1531168619999,0.00000000
0.11090000,0.11090000,0.11090000,0.11090000,1531168620000,1531168679999,0.00000000
0.11089600,0.11089600,0.11068600,0.11081500,1531168680000,1531168739999,17.76500000
0.11081400,0.11081500,0.11081400,0.11081400,1531168740000,1531168799999,8.42500000
0.11069000,0.11075000,0.11069000,0.11069100,1531168800000,1531168859999,4.40000000
0.11079800,0.11089900,0.11079200,0.11089900,1531168860000,1531168919999,7.46600000
0.11069700,0.11069900,0.11069700,0.11069900,1531168920000,1531168979999,6.57400000
0.11069900,0.11069900,0.11069900,0.11069900,1531168980000,1531169039999,0.00000000
0.11071000,0.11071000,0.11071000,0.11071000,1531169040000,1531169099999,1.30600000
0.11070900,0.11076100,0.11070900,0.11070900,1531169100000,1531169159999,27.00000000
0.11075600,0.11087400,0.11070900,0.11075700,1531169160000,1531169219999,24.92200000
0.11075800,0.11075900,0.11075700,0.11075700,1531169220000,1531169279999,18.32000000
0.11075700,0.11082700,0.11073200,0.11082700,1531169280000,1531169339999,21.17300000
0.11082700,0.11082700,0.11068500,0.11068500,1531169340000,1531169399999,12.00600000
0.11080700,0.11080700,0.11080700,0.11080700,1531169400000,1531169459999,0.06800000
0.11074500,0.11084900,0.11068500,0.11068600,1531169460000,1531169519999,11.22900000
0.11074500,0.11074500,0.11068500,0.11070800,1531169520000,1531169579999,5.17500000
0.11068800,0.11068900,0.11068400,0.11068500,1531169580000,1531169639999,44.26200000
0.11068500,0.11068500,0.11068500,0.11068500,1531169640000,1531169699999,8.90900000
0.11068500,0.11068500,0.11068500,0.11068500,1531169700000,1531169759999,3.93800000
0.11068700,0.11068700,0.11065700,0.11068400,1531169760000,1531169819999,20.10800000
0.11066000,0.11067100,0.11064800,0.11064800,1531169820000,1531169879999,12.97300000
0.11065300,0.11065300,0.11064800,0.11064800,1531169880000,1531169939999,27.24100000
0.11064800,0.11069600,0.11064800,0.11064800,1531169940000,1531169999999,19.74600000
0.11069600,0.11069600,0.11048400,0.11058200,1531170000000,1531170059999,12.44500000
0.11050300,0.11061300,0.11050300,0.11061300,1531170060000,1531170119999,12.22000000
0.11058900,0.11061200,0.11058900,0.11061200,1531170120000,1531170179999,1.66200000
0.11063600,0.11066000,0.11061300,0.11061300,1531170180000,1531170239999,28.88200000
0.11061300,0.11063100,0.11053300,0.11053300,1531170240000,1531170299999,26.00600000
0.11059100,0.11065000,0.11054600,0.11061400,1531170300000,1531170359999,24.36400000
0.11062300,0.11065000,0.11061400,0.11061400,1531170360000,1531170419999,18.34600000
0.11065000,0.11065000,0.11061400,0.11063100,1531170420000,1531170479999,41.16700000
0.11065000,0.11065000,0.11061400,0.11063100,1531170480000,1531170539999,18.89000000
0.11063200,0.11065000,0.11063100,0.11063300,1531170540000,1531170599999,12.81700000
0.11063400,0.11063800,0.11063400,0.11063400,1531170600000,1531170659999,31.54800000
0.11063800,0.11063800,0.11063200,0.11063200,1531170660000,1531170719999,16.94300000
0.11063300,0.11064200,0.11059200,0.11063300,1531170720000,1531170779999,100.67500000
0.11063300,0.11063300,0.11059500,0.11063300,1531170780000,1531170839999,14.10300000
0.11063400,0.11063400,0.11056400,0.11059100,1531170840000,1531170899999,20.90900000
0.11059800,0.11063200,0.11056400,0.11063100,1531170900000,1531170959999,24.85000000
0.11062900,0.11062900,0.11062000,0.11062000,1531170960000,1531171019999,0.19800000
0.11061700,0.11061800,0.11048800,0.11048800,1531171020000,1531171079999,11.06600000
0.11055500,0.11061800,0.11048500,0.11048500,1531171080000,1531171139999,4.36200000
0.11061600,0.11061800,0.11048500,0.11048500,1531171140000,1531171199999,6.60600000
0.11060100,0.11077400,0.11054200,0.11060600,1531171200000,1531171259999,73.77700000
0.11054400,0.11060600,0.11049800,0.11060600,1531171260000,1531171319999,13.90700000
0.11048300,0.11060500,0.11048300,0.11060500,1531171320000,1531171379999,18.05100000
0.11060500,0.11060500,0.11060500,0.11060500,1531171380000,1531171439999,0.00000000
0.11060300,0.11060300,0.11060300,0.11060300,1531171440000,1531171499999,0.98400000
0.11059900,0.11060200,0.11048800,0.11060200,1531171500000,1531171559999,12.26000000
0.11060700,0.11068400,0.11060100,0.11060100,1531171560000,1531171619999,15.82900000
